"TRAN","TPLOT","TAG","SPEC","YRTAG","YRREC","STAT87","STAT98","STAT99","STAT00","STAT10","STAT11","YRDERC","DBH87","DECW87","DECM87","CPOS87","DBH98","NOTE98","DBH99","DAH99","HTCL99","HT99","COND99","CII00","NOTE00","DBH10","NOTE10","DBH11","DAH11","HTCL11","HT11","SNHT11","COND11","CII11","NOTE11","HR","DIST","WTAZ","WITN","ELEVCL","ASPCL","SLOPE87","MICR","CLASS","CODE98A","PISAP87","HRB87","HRB1_87","HRB2_87","HRB3_87","SHRB1_87","SHRB2_87","SHRB3_87","SLOPE10_D","SLOPE10_P","CODE98B","ASP","ELEV","SOILOLD","SLOPE99","TRAD","TRAD11","ABSRAD","ABSRAD11","slope11_d","asp11","elev_ft11","elev_m11","EDBH99","EDBH11","FORM99","FORM11","soilcl","TECH","htpred87","htpred98","htpred99","htpred10","htpred11","HHhtpred87","HHhtpred98","HHhtpred99","HHhtpred10","HHhtpred11","canht87","canht98","canht99","canht10","canht11","ht87","ht98","ht99","ht10","ht11","kozak87","honer87","kozak98","honer98","kozak99","honer99","kozak10","honer10","kozak11","honer11","clark87","clark98","clark99","clark10","clark11","bv87","bv98","bv99","bv10","bv11"
"E320",3,214,"BECO",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,22.7,NA,NA,"",24.3,"",NA,NA,"",NA,"",NA,"",24.5,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",11,"PLAN",TRUE,"",0,10,"DRSP/DRIN","ASSPP","OXMO","ACSA","","",NA,NA,"",223,838,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",13.866010263587,14.2184727694456,NA,14.2599133075405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.866010263587,14.2184727694456,NA,14.2599133075405,NA,NA,0.252379132863968,NA,0.294676125520866,NA,NA,NA,0.300195295494874,NA,NA,0.288447760512566,0.335925299151798,NA,0.342117822695439,NA,0.288447760512566,0.335925299151798,NA,0.342117822695439,NA
"E320",3,215,"BECO",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,20.7,NA,NA,"",21.1,"",NA,NA,"",NA,"",NA,"",21.2,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",11,"PLAN",TRUE,"",0,10,"DRSP/DRIN","ASSPP","OXMO","ACSA","","",NA,NA,"",223,838,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",13.3683635997395,13.4733400551867,NA,13.4991441760298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3683635997395,13.4733400551867,NA,13.4991441760298,NA,NA,0.204179249580855,NA,0.213401864774667,NA,NA,NA,0.215740196898487,NA,NA,0.234281354443566,0.244652585737457,NA,0.247281539457406,NA,0.234281354443566,0.244652585737457,NA,0.247281539457406,NA
"E320",3,216,"PIRU",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,11.6,2,2,"i",12.1,"",NA,NA,"",NA,"",NA,"",13.1,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",11,"PLAN",TRUE,"",0,10,"DRSP/DRIN","ASSPP","OXMO","ACSA","","",NA,NA,"",223,838,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",9.96268265084435,10.3444246195691,NA,10.4313161363896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.96268265084435,10.3444246195691,NA,10.4313161363896,NA,0.0586933595418022,0.0499773003742466,0.0664469222914609,0.0563359518680626,NA,NA,0.0782447035842805,0.0665532552385424,NA,NA,NA,NA,NA,NA,NA,0.0586933595418022,0.0664469222914609,NA,0.0782447035842805,NA
"E320",3,217,"BECO",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,13,NA,NA,"",13.8,"",NA,NA,"",NA,"",NA,"",14.1,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",11,"PLAN",TRUE,"",0,10,"DRSP/DRIN","ASSPP","OXMO","ACSA","","",NA,NA,"",223,838,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",10.682135885778,11.0305339141407,NA,11.1564074837609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.682135885778,11.0305339141407,NA,11.1564074837609,NA,NA,0.0676798105118793,NA,0.0782280689210241,NA,NA,NA,0.0823996132740147,NA,NA,0.0797622411770022,0.0918437512249024,NA,0.0966090285358037,NA,0.0797622411770022,0.0918437512249024,NA,0.0966090285358037,NA
"E320",3,218,"ABBA",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,9.4,NA,NA,"",11.1,"",NA,NA,"",NA,"",NA,"",14.3,"",NA,NA,"",NA,"","",NA,"",NA,3.78,298,1,"L","E",11,"PLAN",TRUE,"",0,10,"DRSP/DRIN","ASSPP","OXMO","ACSA","","",NA,NA,"",223,838,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",7.52367135197239,8.8014253014218,NA,10.5151199861539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.52367135197239,8.8014253014218,NA,10.5151199861539,NA,0.0262974488490033,0.0270093328131086,0.0433770730595744,0.0429711158809757,NA,NA,0.0877118496115352,0.0824753755385316,NA,NA,NA,NA,NA,NA,NA,0.0262974488490033,0.0433770730595744,NA,0.0877118496115352,NA
"E320",3,219,"ABBA",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,9.8,NA,NA,"",12.7,"",NA,NA,"",NA,"",NA,"",16.8,"",NA,NA,"",NA,"","",NA,"",NA,3.67,172,1,"L","E",11,"PLAN",TRUE,"",0,10,"DRSP/DRIN","ASSPP","OXMO","ACSA","","",NA,NA,"",223,838,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",7.82816449574767,9.94755852940595,NA,11.7702842150346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.82816449574767,9.94755852940595,NA,11.7702842150346,NA,0.0298070248592445,0.0303619707546748,0.0650067408537997,0.0622005327722114,NA,NA,0.137687606362573,0.124500650692052,NA,NA,NA,NA,NA,NA,NA,0.0298070248592445,0.0650067408537997,NA,0.137687606362573,NA
"E320",3,221,"BECO",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,22.2,NA,NA,"",25.6,"",NA,NA,"",NA,"",NA,"",26.7,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",11,"PLAN",TRUE,"",0,10,"DRSP/DRIN","ASSPP","OXMO","ACSA","","",NA,NA,"",223,838,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",13.7478257947484,14.478098539187,NA,14.6806667392035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7478257947484,14.478098539187,NA,14.6806667392035,NA,NA,0.239840893313693,NA,0.33146768865723,NA,NA,NA,0.364284717529388,NA,NA,0.274365269640691,0.3771968544955,NA,0.413996035538389,NA,0.274365269640691,0.3771968544955,NA,0.413996035538389,NA
"E320",3,222,"ABBA",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,14.8,NA,NA,"",16.2,"",NA,NA,"",NA,"",NA,"",17.7,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",11,"PLAN",TRUE,"",0,10,"DRSP/DRIN","ASSPP","OXMO","ACSA","","",NA,NA,"",223,838,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",11.3329375678955,12.1690407697757,NA,12.1633341891131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3329375678955,12.1690407697757,NA,12.1633341891131,NA,0.102384963702577,0.093781035886644,0.133262702119793,0.118823136868869,NA,NA,0.158764852824509,0.141794288634797,NA,NA,NA,NA,NA,NA,NA,0.102384963702577,0.133262702119793,NA,0.158764852824509,NA
"E320",3,224,"ABBA",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,16.3,NA,NA,"",17.3,"",NA,NA,"",NA,"",NA,"",18,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",11,"PLAN",TRUE,"",0,10,"DRSP/DRIN","ASSPP","OXMO","ACSA","","",NA,NA,"",223,838,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",12.2259408792817,12.7739921317074,NA,12.2876475022395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2259408792817,12.7739921317074,NA,12.2876475022395,NA,0.135653890761075,0.120732528657786,0.160931348111201,0.140700494920589,NA,NA,0.166147645975903,0.147807140109835,NA,NA,NA,NA,NA,NA,NA,0.135653890761075,0.160931348111201,NA,0.166147645975903,NA
"E320",3,225,"BECO",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,17.9,NA,NA,"",18.7,"",NA,NA,"",NA,"",NA,"",18.7,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",11,"PLAN",TRUE,"",0,10,"DRSP/DRIN","ASSPP","OXMO","ACSA","","",NA,NA,"",223,838,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",12.5485062674968,12.7987702862569,NA,12.7987702862569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5485062674968,12.7987702862569,NA,12.7987702862569,NA,NA,0.145500624069884,NA,0.161213303296001,NA,NA,NA,0.161213303296001,NA,NA,0.168172492644424,0.18590076459885,NA,0.18590076459885,NA,0.168172492644424,0.18590076459885,NA,0.18590076459885,NA
